yyyymm,equity_premium,b/m,tbl,ntis,infl,ltr,svar,dp,dy,ep,tms,dfy,dfr
194501,0.060544143,0.735341967,0.0038,0.010298386,0,0.0127,0.000928462,-3.041557794,-3.027351948,-2.662340394,0.0202,0.0077,0.0231
194502,0.103706675,0.704488778,0.0038,0.009062751,-0.0018779,0.0077,0.000659021,-3.096183337,-3.036388791,-2.711552832,0.0198,0.0076,0.0227
194503,-0.001016212,0.767882643,0.0038,0.009997887,0,0.0021,0.001882691,-3.043789569,-3.091042453,-2.653828647,0.0198,0.0076,0.0224
194504,0.126871335,0.715062863,0.0038,0.009524749,0.0018779,0.016,0.001393146,-3.128109154,-3.043789569,-2.724355253,0.019,0.0075,0.0223
194505,0.053466786,0.702911468,0.0038,0.013885439,0.0074767,0.0056,0.000921803,-3.139499562,-3.128109154,-2.722139328,0.0188,0.007,0.0224
194506,0.038878422,0.718843046,0.0038,0.014111704,0.0092679,0.0169,0.000864282,-3.136162889,-3.139499562,-2.705379973,0.0179,0.0068,0.0223
194507,0.023027248,0.726301572,0.0038,0.015317196,0.0018433,-0.0086,0.001808734,-3.110791022,-3.131048298,-2.688461263,0.0186,0.0066,0.0222
194508,0.097512167,0.678753801,0.0038,0.012958023,0,0.0026,0.002086701,-3.162063215,-3.105700935,-2.748174301,0.0185,0.0065,0.0223
194509,0.080767011,0.656820832,0.0038,0.01184901,-0.00369,0.0054,0.001440497,-3.198054497,-3.157000421,-2.792589389,0.0183,0.0062,0.0224
194510,0.068428649,0.63397642,0.0038,0.013060612,0,0.0104,0.000978652,-3.22792566,-3.198054497,-2.832612924,0.0178,0.0058,0.0224
194511,0.069276625,0.617883631,0.0038,0.013686936,0.00369,0.0125,0.001447184,-3.259843263,-3.22792566,-2.874787027,0.0172,0.0053,0.0224
194512,0.046837766,0.613239334,0.0038,0.020968306,0.0036765,0.0194,0.001528865,-3.269684153,-3.259843263,-2.894990704,0.0161,0.0049,0.0223
194601,0.102332821,0.578003616,0.0038,0.024239591,0,0.0025,0.002638412,-3.327011983,-3.259633317,-2.983422779,0.0161,0.0047,0.0216
194602,-0.034088262,0.622336788,0.0038,0.027096679,-0.0036765,0.0032,0.00591414,-3.245065036,-3.317062648,-2.932931372,0.016,0.0047,0.021
194603,0.081860514,0.614852676,0.0038,0.027973752,0.0073395,0.001,0.001486795,-3.280468836,-3.235212244,-3.000166871,0.016,0.0047,0.0209
194604,0.072209777,0.593412971,0.0038,0.028209759,0.0054695,-0.0135,0.001084558,-3.317389424,-3.280468836,-3.059560315,0.0169,0.005,0.0208
194605,0.056664048,0.578010175,0.0038,0.029411753,0.0054397,-0.0012,0.001288516,-3.33953055,-3.317389424,-3.104690959,0.0171,0.0051,0.0213
194606,-0.003972978,0.596731835,0.0038,0.030399982,0.0107915,0.007,0.001467207,-3.299642252,-3.33953055,-3.088333159,0.0168,0.0054,0.0211
194607,0.011192164,0.608751737,0.0038,0.036052402,0.0573572,-0.004,0.001679089,-3.268920046,-3.294752755,-3.042853064,0.0171,0.0055,0.021
194608,-0.035639991,0.648554363,0.0038,0.039934845,0.0217218,-0.0111,0.00192685,-3.188316037,-3.264052883,-2.947848569,0.0179,0.0052,0.0213
194609,-0.062255966,0.711634381,0.0038,0.045267022,0.0115038,-0.0009,0.015800568,-3.076443654,-3.183473898,-2.821913789,0.0181,0.0052,0.022
194610,0.037506204,0.725391664,0.0038,0.044729152,0.0194181,0.0074,0.006033109,-3.058773982,-3.066827717,-2.752134122,0.0178,0.0055,0.0222
194611,0.034991481,0.722699965,0.0038,0.043993653,0.0237541,-0.0054,0.00379766,-3.037729407,-3.049251053,-2.682480124,0.0182,0.0058,0.0221
194612,0.087092268,0.692437923,0.0038,0.053483804,0.0077943,0.0145,0.002670548,-3.070343137,-3.028294901,-2.66958392,0.0174,0.0056,0.0223
194701,0.06748448,0.680004434,0.0038,0.048130492,0,-0.0006,0.002111568,-3.088916617,-3.065659755,-2.628892058,0.0176,0.0056,0.0219
194702,0.030287293,0.685858021,0.0038,0.050221309,-0.001554,0.0021,0.001364284,-3.069457648,-3.084253672,-2.55399211,0.0176,0.0057,0.0217
194703,0.029059648,0.741534989,0.0038,0.050715683,0.0215393,0.002,0.002411212,-3.04782386,-3.064817733,-2.480302893,0.0175,0.006,0.0217
194704,0.009087427,0.770042194,0.0038,0.052109392,0,-0.0037,0.002307258,-2.989806109,-3.029475176,-2.396978683,0.0179,0.0063,0.0215
194705,0.041108734,0.776366322,0.0038,0.047044516,-0.0030488,0.0033,0.002545105,-2.962830391,-2.971786703,-2.346200779,0.0178,0.0064,0.0215
194706,0.099700881,0.741116751,0.0038,0.046741715,0.0076046,0.001,0.001958952,-2.996389952,-2.94513126,-2.357309993,0.0178,0.0066,0.0217
194707,0.082673806,0.717327219,0.0066,0.040071503,0.0090498,0.0063,0.001977368,-3.018839849,-2.98331787,-2.367685532,0.0148,0.0063,0.0189
194708,0.020719188,0.734693878,0.0075,0.042967877,0.0104557,0.0081,0.000824465,-2.977620524,-3.005936444,-2.314846644,0.0135,0.0061,0.0181
